Files already downloaded and verified
Files already downloaded and verified
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.7s | Train: skip eval | Valid: time=  0.2s loss=2.265, TAw acc= 18.5% |
| Epoch   2, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=2.089, TAw acc= 26.1% |
| Epoch   3, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=2.007, TAw acc= 26.0% |
| Epoch   4, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=2.040, TAw acc= 25.7% |
| Epoch   5, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.896, TAw acc= 32.4% |
| Epoch   6, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.951, TAw acc= 27.5% |
| Epoch   7, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.915, TAw acc= 31.6% |
| Epoch   8, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.756, TAw acc= 35.7% |
| Epoch   9, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.860, TAw acc= 35.2% |
| Epoch  10, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.692, TAw acc= 37.6% |
| Epoch  11, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.813, TAw acc= 37.0% |
| Epoch  12, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.553, TAw acc= 43.7% |
| Epoch  13, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.662, TAw acc= 42.0% |
| Epoch  14, time=  0.5s | Train: skip eval | Valid: time=  0.1s loss=1.563, TAw acc= 46.0% |
| Epoch  15, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.428, TAw acc= 52.1% |
| Epoch  16, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.482, TAw acc= 49.6% |
| Epoch  17, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.530, TAw acc= 46.9% |
| Epoch  18, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.408, TAw acc= 53.8% |
| Epoch  19, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.291, TAw acc= 57.3% |
| Epoch  20, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.289, TAw acc= 57.5% |
