Files already downloaded and verified
Files already downloaded and verified
[(0, 50), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  2.4s | Train: skip eval | Valid: time=  0.4s loss=3.566, TAw acc= 10.1% |
| Epoch   2, time=  2.4s | Train: skip eval | Valid: time=  0.4s loss=3.472, TAw acc= 11.6% |
| Epoch   3, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=3.376, TAw acc= 13.0% |
| Epoch   4, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=3.292, TAw acc= 15.7% |
| Epoch   5, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=3.076, TAw acc= 18.2% |
| Epoch   6, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=2.949, TAw acc= 21.2% |
| Epoch   7, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=2.855, TAw acc= 22.8% |
| Epoch   8, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=2.846, TAw acc= 23.9% |
| Epoch   9, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=2.692, TAw acc= 27.8% |
| Epoch  10, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=2.614, TAw acc= 28.9% |
| Epoch  11, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=2.605, TAw acc= 29.6% |
| Epoch  12, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=2.564, TAw acc= 30.2% |
| Epoch  13, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=2.653, TAw acc= 29.2% |
